Listening to port 4567
Connected
Initializing EKF
0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0
0.312243	0.58034	0	0	0.312243	0.58034	0.859997	0.600045	5.19975	0.00179686
1.06252	0.493899	0.0853488	-0.00983317	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.06679	0.493407	0.0853488	-0.00983317	1.17385	0.481073	1.37996	0.600629	5.19898	0.0107781
1.35832	0.55823	0.394643	0.0604904	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.37806	0.561255	0.394643	0.0604904	1.65063	0.62469	1.89982	0.60247	5.19766	0.0269323
1.72593	0.599315	1.15206	0.141361	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1.78353	0.606384	1.15206	0.141361	2.18882	0.648739	2.41954	0.606284	5.19573	0.0502389
2.18115	0.63539	2.14931	0.205705	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.28862	0.645675	2.14931	0.205705	2.65526	0.66598	2.93904	0.612786	5.19309	0.080668
2.66367	0.647746	2.95559	0.180953	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
2.81145	0.656793	2.95559	0.180953	3.01222	0.637046	3.45825	0.622685	5.18963	0.11818
3.37187	0.509494	4.15264	-0.272605	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.5795	0.495864	4.15264	-0.272605	3.89365	0.311793	3.97708	0.636689	5.18519	0.162724
4.0165	0.524544	4.78892	-0.155234	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.25594	0.516782	4.78892	-0.155234	4.30935	0.578564	4.49542	0.655498	5.17962	0.214238
4.43314	0.677728	4.6218	0.297704	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.66423	0.692614	4.6218	0.297704	4.35143	0.899174	5.01315	0.679804	5.1727	0.272649
5.16049	0.682298	5.32091	0.231263	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.42654	0.693861	5.32091	0.231263	5.51894	0.648233	5.53013	0.710295	5.16422	0.337868
5.83079	0.706765	5.68266	0.234772	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.11492	0.718503	5.68266	0.234772	6.022	0.708619	6.04618	0.747647	5.15393	0.409793
6.37553	0.821131	5.62115	0.472456	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.65659	0.844754	5.62115	0.472456	6.34249	0.948833	6.5611	0.792523	5.14157	0.488305
6.87332	0.804527	5.45266	0.305225	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
7.14595	0.819788	5.45266	0.305225	6.78214	0.714036	7.07469	0.845578	5.12685	0.573269
7.30252	0.885467	5.14809	0.437529	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
7.55992	0.907344	5.14809	0.437529	7.13735	0.957217	7.58668	0.907449	5.10946	0.664531
7.81238	0.842594	5.13509	0.209888	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
8.06914	0.853088	5.13509	0.209888	7.80533	0.719126	8.0968	0.978759	5.08907	0.761915
8.29377	0.853993	5.0506	0.184671	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
8.5463	0.863227	5.0506	0.184671	8.24796	0.840322	8.60472	1.06011	5.06537	0.865226
8.77711	0.945065	4.99347	0.375663	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
9.02678	0.963848	4.99347	0.375663	8.74615	1.04858	9.1101	1.15208	5.03798	0.974245
9.26793	1.01005	4.97106	0.447785	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
